mes,categoria,subcategoria,monto
2025-07,Seguridad,Empresa de seguridad,8920285
2025-07,Seguridad,Policía adicional,13032447
2025-07,Espacios verdes,Poda (retiro de poda),84934087
2025-07,Espacios verdes,Desmalezado,1448772
2025-07,Servicios,Energía eléctrica,415000
2025-07,Servicios,Servicio de aguas,234324
2025-07,Administración,Gastos bancarios,154092
2025-07,Administración,Honorarios administración,164421
2025-07,Seguridad,Teléfono guardia puestos 1 y 2,342000
2025-07,Mantenimiento,Servicios de bomba,164421
2025-07,Administración,Estudio jurídico,380000
2025-07,Administración,Estudio contable,342000
2025-07,Administración,Proceso de datos,3480
2025-07,Servicios,Análisis de agua,1743000
2025-07,Seguridad,Garitas,145200
2025-07,Servicios,Impuesto rentas,236230
2025-07,Mantenimiento,Mantenimiento eléctrico,625182
2025-07,Seguridad,Netglobal SAS Internet Bunker,28300
2025-07,Mantenimiento,Mantenimiento general,120000
2025-07,Mantenimiento,Materiales de arreglo,65611
2025-07,Limpieza,Limpieza quinchos,96000
2025-07,Mantenimiento,Materiales eléctricos,529836
2025-07,Seguridad,Mantenimiento cámaras,7929469
2025-07,Administración,Sueldo intendente,1341307
2025-07,Administración,Honorarios mediación,169179
2025-07,Mantenimiento,Pinturería,56605
2025-07,Mantenimiento,Vallas reducción velocidad,740000
2025-07,Limpieza,Artículos de limpieza,48200
2025-07,Seguridad,Cambio de matafuegos,45000
2025-07,Mantenimiento,Viaje ramas extras,393250
2025-07,Seguros,Seguro accidentes personales,16067
2025-07,Administración,UTEDYC,85540
2025-07,Limpieza,Limpieza SUM,910000
2025-07,Seguridad,Renovación seguro Integrity,0
2025-07,Mantenimiento,Cloro cisterna,280000
2025-07,Administración,Diferencia impuesto rentas,1810
2025-07,Mantenimiento,Extracción de tierra,1270000
2025-07,Administración,Actas (copia),3900
2025-07,Seguridad,Diferencia teléfono guardia,3894
2025-07,Espacios verdes,Diferencia desmalezado,-27315
2025-07,Total,Total mensual,127391594

